stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,163,1,actual,low,m,gonogo,58,,54,54,46.49191177938883,46.99192253125693,40.4837877192,1,,1,0.375382779297,1.0,15.0,,1,1.0
m,go,11,163,2,actual,low,m,gonogo,58,,54,54,47.99129380298291,48.491302250879016,,1,,1,0.383880594876,1.0,15.0,,2,1.0
m,go,11,163,3,actual,low,m,gonogo,58,,54,54,49.49132529059534,49.9913370664508,,1,,1,0.317156294783,1.0,15.0,,3,1.0
w,nogo,12,163,4,actual,low,m,gonogo,58,,54,54,50.99129098701633,51.491303018869075,,1,,,,1.0,19.0,,4,1.0
m,go,11,163,5,actual,low,m,gonogo,58,,54,54,52.491284587094924,52.99129405897838,,1,,1,0.325485664433,1.0,15.0,,5,1.0
w,nogo,12,163,6,actual,low,m,gonogo,58,,54,54,53.99131223475524,54.49132273062605,,1,,,,1.0,19.0,,6,1.0
m,go,11,163,7,actual,low,m,gonogo,58,,54,54,55.49134372236949,55.991353450250244,,1,,1,0.308858668745,1.0,15.0,,7,1.0
m,go,11,163,8,actual,low,m,gonogo,58,,54,54,56.99131658670194,57.491327338570045,,1,,,,1.0,18.0,,8,0.0
m,go,11,163,9,actual,low,m,gonogo,58,,54,54,58.49132938654475,58.99134193039026,,1,,1,0.425461907924,1.0,15.0,,9,1.0
m,go,11,163,10,actual,low,m,gonogo,58,,54,54,59.99133297050139,60.491340394410145,,1,,,,1.0,18.0,,10,0.0
m,go,11,163,11,actual,low,m,gonogo,58,,54,54,61.490132089256804,61.99018252063797,,1,,1,0.350489133189,1.0,15.0,,11,1.0
m,go,11,163,12,actual,low,m,gonogo,58,,54,54,62.988877192678046,63.48888948052627,,1,,1,0.358893253921,1.0,15.0,,12,1.0
m,go,11,163,1,actual,high,m,gonogo,58,,54,54,64.50065970389369,65.00067147974914,,2,,1,0.375382779297,1.0,15.0,,13,1.0
w,nogo,12,163,2,actual,high,m,gonogo,58,,54,54,66.00010086276052,66.5001100786485,,2,,,,1.0,19.0,,14,1.0
w,nogo,12,163,3,actual,high,m,gonogo,58,,54,54,67.50010316673252,68.00011263861597,,2,,,,1.0,19.0,,15,1.0
w,nogo,12,163,4,actual,high,m,gonogo,58,,54,54,69.00005427133328,69.50006732717338,,2,,,,1.0,19.0,,16,1.0
w,nogo,12,163,5,actual,high,m,gonogo,58,,54,54,70.50005939127004,71.0000691191508,,2,,,,1.0,19.0,,17,1.0
w,nogo,12,163,6,actual,high,m,gonogo,58,,54,54,72.00007219111285,72.50008140700083,,2,,,,1.0,19.0,,18,1.0
m,go,11,163,7,actual,high,m,gonogo,58,,54,54,73.50011315061056,74.00012211049943,,2,,1,0.308860972717,1.0,15.0,,19,1.0
w,nogo,12,163,8,actual,high,m,gonogo,58,,54,54,75.00006348722127,75.50007219111285,,2,,,,1.0,19.0,,20,1.0
m,go,11,163,9,actual,high,m,gonogo,58,,54,54,76.50012313448678,77.00013516633953,,2,,1,0.342165139475,1.0,15.0,,21,1.0
m,go,11,163,10,actual,high,m,gonogo,58,,54,54,78.00013286236754,78.50014489422028,,2,,,,1.0,18.0,,22,0.0
m,go,11,163,11,actual,high,m,gonogo,58,,54,54,79.50010956665392,80.00011929453467,,2,,1,0.325481312486,1.0,15.0,,23,1.0
m,go,11,163,12,actual,high,m,gonogo,58,,54,54,81.00013055839554,81.50014054227358,,2,,1,0.367185760022,1.0,15.0,,24,1.0
m,go,11,163,1,actual,low,m,gonogo,58,,54,54,82.54446562960766,83.04447305351641,,3,,1,0.317180614486,1.0,15.0,,25,1.0
m,go,11,163,2,actual,low,m,gonogo,58,,54,54,84.04386762095601,84.54387709283947,,3,,1,0.342215058861,1.0,15.0,,26,1.0
m,go,11,163,3,actual,low,m,gonogo,58,,54,54,85.54391446837872,86.04392445225676,,3,,1,0.342145427718,1.0,15.0,,27,1.0
m,go,11,163,4,actual,low,m,gonogo,58,,54,54,87.04387862881958,87.54388810070304,,3,,1,0.358827974722,1.0,15.0,,28,1.0
m,go,11,163,5,actual,low,m,gonogo,58,,54,54,88.54387658084488,89.04389629260368,,3,,1,0.375465466281,1.0,15.0,,29,1.0
w,nogo,12,163,6,actual,low,m,gonogo,58,,54,54,90.0438891246904,90.54389731659103,,3,,,,1.0,19.0,,30,1.0
w,nogo,12,163,7,actual,low,m,gonogo,58,,54,54,91.54389654859915,92.04390525249255,,3,,,,1.0,19.0,,31,1.0
m,go,11,163,8,actual,low,m,gonogo,58,,54,54,93.04388733271298,93.5438975725865,,3,,1,0.425531539069,1.0,15.0,,32,1.0
m,go,11,163,9,actual,low,m,gonogo,58,,54,54,94.54387939681146,95.04388758871028,,3,,1,0.392167213051,1.0,15.0,,33,1.0
m,go,11,163,10,actual,low,m,gonogo,58,,54,54,96.04387965280694,96.54389270864704,,3,,1,0.358895557891,1.0,15.0,,34,1.0
m,go,11,163,11,actual,low,m,gonogo,58,,54,54,97.54395568387372,98.04396541175447,,3,,1,0.275593925502,1.0,15.0,,35,1.0
m,go,11,163,12,actual,low,m,gonogo,58,,54,54,99.04390730046725,99.54391677235071,,3,,1,0.317204934187,1.0,15.0,,36,1.0
w,nogo,12,163,1,actual,high,m,gonogo,58,,54,54,100.55466582426743,101.0546770881283,,4,,,,1.0,19.0,,37,1.0
m,go,11,163,2,actual,high,m,gonogo,58,,54,54,102.05513890645307,102.55514889033111,,4,,1,0.400492998742,1.0,15.0,,38,1.0
w,nogo,12,163,3,actual,high,m,gonogo,58,,54,54,103.55512636260755,104.0551342985109,,4,,,,1.0,19.0,,39,1.0
m,go,11,163,4,actual,high,m,gonogo,58,,54,54,105.05516578612333,105.55517474601402,,4,,1,0.308909100124,1.0,15.0,,40,1.0
w,nogo,12,163,5,actual,high,m,gonogo,58,,54,54,106.5551319945389,107.05514172241965,,4,,,,1.0,19.0,,41,1.0
m,go,11,163,6,actual,high,m,gonogo,58,,54,54,108.05520341766169,108.55521237755056,,4,,1,0.31717267858,1.0,15.0,,42,1.0
m,go,11,163,7,actual,high,m,gonogo,58,,54,54,109.5551834499056,110.05519496976558,,4,,1,0.408869215815,1.0,15.0,,43,1.0
w,nogo,12,163,8,actual,high,m,gonogo,58,,54,54,111.05514146642236,111.55518268191554,,4,,,,1.0,19.0,,44,1.0
m,go,11,163,9,actual,high,m,gonogo,58,,54,54,112.55514863433382,113.05515657023716,,4,,1,0.308829485104,1.0,15.0,,45,1.0
w,nogo,12,163,10,actual,high,m,gonogo,58,,54,54,114.0551514503004,114.55516425014139,,4,,,,1.0,19.0,,46,1.0
w,nogo,12,163,11,actual,high,m,gonogo,58,,54,54,115.55397079280738,116.05398231266554,,4,,,,1.0,19.0,,47,1.0
m,go,11,163,12,actual,high,m,gonogo,58,,54,54,117.05390884156805,117.55391908144338,,4,,1,0.333919480798,1.0,15.0,,48,1.0
m,go,11,163,1,actual,low,m,gonogo,58,,54,54,118.59927174014956,119.09928326000772,,5,,1,0.417206009373,1.0,15.0,,49,1.0
m,go,11,163,2,actual,low,m,gonogo,58,,54,54,120.0989409922131,120.59895072009385,,5,,1,0.325552223614,1.0,15.0,,50,1.0
m,go,11,163,3,actual,low,m,gonogo,58,,54,54,121.59895584003061,122.09896812788065,,5,,1,0.317164230686,1.0,15.0,,51,1.0
m,go,11,163,4,actual,low,m,gonogo,58,,54,54,123.09896326393937,123.59897171183547,,5,,1,0.308887852385,1.0,15.0,,52,1.0
m,go,11,163,5,actual,low,m,gonogo,58,,54,54,124.598969151868,125.09897657577676,,5,,1,0.333825017957,1.0,15.0,,53,1.0
m,go,11,163,6,actual,low,m,gonogo,58,,54,54,126.0989517440812,126.5989630079439,,5,,1,0.3171550148,1.0,15.0,,54,1.0
m,go,11,163,7,actual,low,m,gonogo,58,,54,54,127.59901574329524,128.09902444718864,,5,,1,0.300480403697,1.0,15.0,,55,1.0
m,go,11,163,8,actual,low,m,gonogo,58,,54,54,129.09895686401796,129.5989694078653,,5,,1,0.350582316043,1.0,15.0,,56,1.0
m,go,11,163,9,actual,low,m,gonogo,58,,54,54,130.5977667346433,131.0977795344861,,5,,1,0.325506400177,1.0,15.0,,57,1.0
w,nogo,12,163,10,actual,low,m,gonogo,58,,54,54,132.09650006220727,132.59654998159385,,5,,,,1.0,19.0,,58,1.0
w,nogo,12,163,11,actual,low,m,gonogo,58,,54,54,133.595279725203,134.09528996507834,,5,,,,1.0,19.0,,59,1.0
m,go,11,163,12,actual,low,m,gonogo,58,,54,54,135.09525054156256,135.5952582214668,,5,,1,0.383855507183,1.0,15.0,,60,1.0
m,go,11,163,1,actual,high,m,gonogo,58,,54,54,136.60824084593696,137.10825108581048,,6,,1,0.417213177285,1.0,15.0,,61,1.0
w,nogo,12,163,2,actual,high,m,gonogo,58,,54,54,138.1077677637495,138.6077787716149,,6,,,,1.0,19.0,,62,1.0
m,go,11,163,3,actual,high,m,gonogo,58,,54,54,139.60772834023555,140.1077401160892,,6,,1,0.383829139508,1.0,15.0,,63,1.0
w,nogo,12,163,4,actual,high,m,gonogo,58,,54,54,141.10769813260595,141.607708116484,,6,,,,1.0,19.0,,64,1.0
w,nogo,12,163,5,actual,high,m,gonogo,58,,54,54,142.60779720338905,143.10780821125263,,6,,,,1.0,19.0,,65,1.0
m,go,11,163,6,actual,high,m,gonogo,58,,54,54,144.10772219630962,144.60773320417502,,6,,1,0.400493510737,1.0,15.0,,66,1.0
w,nogo,12,163,7,actual,high,m,gonogo,58,,54,54,145.60777365167814,146.1077831235616,,6,,,,1.0,19.0,,67,1.0
m,go,11,163,8,actual,high,m,gonogo,58,,54,54,147.10773422816237,147.60774626001512,,6,,1,0.31722746191,1.0,15.0,,68,1.0
w,nogo,12,163,9,actual,high,m,gonogo,58,,54,54,148.60779489941706,149.10780334731317,,6,,,,1.0,19.0,,69,1.0
w,nogo,12,163,10,actual,high,m,gonogo,58,,54,54,150.1077337161678,150.60774165207113,,6,,,,1.0,19.0,,70,1.0
m,go,11,163,11,actual,high,m,gonogo,58,,54,54,151.60773525214972,152.10774702800518,,6,,1,0.358843590531,1.0,15.0,,71,1.0
m,go,11,163,12,actual,high,m,gonogo,58,,54,54,153.10773499615243,153.60774370004583,,6,,1,0.433878572499,1.0,15.0,,72,1.0
m,go,11,163,1,actual,low,m,gonogo,58,,54,54,154.65314499815577,155.15315549402658,,7,,1,0.350542380535,1.0,15.0,,73,1.0
m,go,11,163,2,actual,low,m,gonogo,58,,54,54,156.15403996315763,156.65405097102303,,7,,1,0.283868767821,1.0,15.0,,74,1.0
w,nogo,12,163,3,actual,low,m,gonogo,58,,54,54,157.65405225100585,158.15406300287395,,7,,,,1.0,19.0,,75,1.0
w,nogo,12,163,4,actual,low,m,gonogo,58,,54,54,159.15278762654634,159.65279607444245,,7,,,,1.0,19.0,,76,1.0
m,go,11,163,5,actual,low,m,gonogo,58,,54,54,160.65284215387692,161.15285392973237,,7,,1,0.383846547295,1.0,15.0,,77,1.0
m,go,11,163,6,actual,low,m,gonogo,58,,54,54,162.15284932178838,162.6528621216312,,7,,1,0.392194092719,1.0,15.0,,78,1.0
m,go,11,163,7,actual,low,m,gonogo,58,,54,54,163.6528490657911,164.1528616096366,,7,,1,0.292181497674,1.0,15.0,,79,1.0
m,go,11,163,8,actual,low,m,gonogo,58,,54,54,165.1527953064524,165.6528040103458,,7,,1,0.300577938498,1.0,15.0,,80,1.0
m,go,11,163,9,actual,low,m,gonogo,58,,54,54,166.6528040103458,167.1528165541913,,7,,1,0.26715908515,1.0,15.0,,81,1.0
m,go,11,163,10,actual,low,m,gonogo,58,,54,54,168.15285469772243,168.6528641696059,,7,,1,0.292261112696,1.0,15.0,,82,1.0
m,go,11,163,11,actual,low,m,gonogo,58,,54,54,169.65280503433314,170.15281681018678,,7,,1,0.292219129211,1.0,15.0,,83,1.0
