stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,159,1,actual,low,m,gonogo,58,,54,54,36.64404243537774,37.14405280332721,30.6397838961,1,,1,0.292159090938,1.0,15.0,,1,1.0
m,go,11,159,2,actual,low,m,gonogo,58,,54,54,38.143217991387246,38.643229639331366,,1,,1,0.200424753134,1.0,15.0,,2,1.0
w,nogo,12,159,3,actual,low,m,gonogo,58,,54,54,39.642348235618556,40.14235885956623,,1,,1,0.208861448098,1.0,16.0,,3,0.0
m,go,11,159,4,actual,low,m,gonogo,58,,54,54,41.14238164345534,41.642393035400346,,1,,1,0.367192581975,1.0,15.0,,4,1.0
w,nogo,12,159,5,actual,low,m,gonogo,58,,54,54,42.64245985107573,43.142472267014455,,1,,,,1.0,19.0,,5,1.0
m,go,11,159,6,actual,low,m,gonogo,58,,54,54,44.14159316729092,44.641604047237706,,1,,,,1.0,18.0,,6,0.0
m,go,11,159,7,actual,low,m,gonogo,58,,54,54,45.64066529980391,46.1406761797507,,1,,,,1.0,18.0,,7,0.0
m,go,11,159,8,actual,low,m,gonogo,58,,54,54,47.139734104333,47.63974677627175,,1,,,,1.0,18.0,,8,0.0
w,nogo,12,159,9,actual,low,m,gonogo,58,,54,54,48.63881084482364,49.13881839678743,,1,,,,1.0,19.0,,9,1.0
m,go,11,159,10,actual,low,m,gonogo,58,,54,54,50.138903388374274,50.63891273232821,,1,,1,0.300503114353,1.0,15.0,,10,1.0
m,go,11,159,11,actual,low,m,gonogo,58,,54,54,51.638927324257565,52.1389364122133,,1,,1,0.267195884358,1.0,15.0,,11,1.0
m,go,11,159,12,actual,low,m,gonogo,58,,54,54,53.137996128786654,53.638003936748646,,1,,1,0.350513751101,1.0,15.0,,12,1.0
w,nogo,12,159,1,actual,high,m,gonogo,58,,54,54,54.649829031232,55.149836839193995,,2,,,,1.0,19.0,,13,1.0
w,nogo,12,159,2,actual,high,m,gonogo,58,,54,54,56.149126442648594,56.64913655459986,,2,,1,0.283855003329,1.0,16.0,,14,0.0
m,go,11,159,3,actual,high,m,gonogo,58,,54,54,57.64826027086201,58.148272430802535,,2,,1,0.417214482668,1.0,15.0,,15,1.0
w,nogo,12,159,4,actual,high,m,gonogo,58,,54,54,59.147298867538666,59.647307699495286,,2,,,,1.0,19.0,,16,1.0
w,nogo,12,159,5,actual,high,m,gonogo,58,,54,54,60.64734865929586,61.14735774725159,,2,,,,1.0,19.0,,17,1.0
m,go,11,159,6,actual,high,m,gonogo,58,,54,54,62.146432311753415,62.64644421569574,,2,,,,1.0,18.0,,18,0.0
m,go,11,159,7,actual,high,m,gonogo,58,,54,54,63.64551161223153,64.14552479616759,,2,,1,0.433868481664,1.0,15.0,,19,1.0
m,go,11,159,8,actual,high,m,gonogo,58,,54,54,65.14458835272217,65.64459692868058,,2,,1,0.383911348656,1.0,15.0,,20,1.0
m,go,11,159,9,actual,high,m,gonogo,58,,54,54,66.64366074123427,67.14366880519538,,2,,1,0.300512330308,1.0,15.0,,21,1.0
w,nogo,12,159,10,actual,high,m,gonogo,58,,54,54,68.14271623382865,68.64272429778885,,2,,,,1.0,19.0,,22,1.0
m,go,11,159,11,actual,high,m,gonogo,58,,54,54,69.64280800938195,70.14281556134483,,2,,1,0.350553174909,1.0,15.0,,23,1.0
w,nogo,12,159,12,actual,high,m,gonogo,58,,54,54,71.14189396582788,71.6419027977845,,2,,,,1.0,19.0,,24,1.0
m,go,11,159,1,actual,low,m,gonogo,58,,54,54,72.68746315217959,73.18747070414247,,3,,1,0.233869710458,1.0,15.0,,25,1.0
w,nogo,12,159,2,actual,low,m,gonogo,58,,54,54,74.1870792820464,74.68709092998961,,3,,,,1.0,19.0,,26,1.0
m,go,11,159,3,actual,low,m,gonogo,58,,54,54,75.68615576653792,76.18616715848293,,3,,1,0.217221599434,1.0,15.0,,27,1.0
m,go,11,159,4,actual,low,m,gonogo,58,,54,54,77.18623602214757,77.68624767009169,,3,,,,1.0,18.0,,28,0.0
w,nogo,12,159,5,actual,low,m,gonogo,58,,54,54,78.68631499776347,79.18632280572547,,3,,1,0.233825934671,1.0,16.0,,29,0.0
m,go,11,159,6,actual,low,m,gonogo,58,,54,54,80.18539660223087,80.68540748217765,,3,,1,0.425546986139,1.0,15.0,,30,1.0
m,go,11,159,7,actual,low,m,gonogo,58,,54,54,81.68447897469468,82.1844875506522,,3,,,,1.0,18.0,,31,0.0
m,go,11,159,8,actual,low,m,gonogo,58,,54,54,83.18367398660939,83.68368589055171,,3,,1,0.400535651795,1.0,15.0,,32,1.0
m,go,11,159,9,actual,low,m,gonogo,58,,54,54,84.68264423161872,85.18265255157803,,3,,1,0.400496739983,1.0,15.0,,33,1.0
