stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,go,11,130,1,actual,low,w,gonogo,58,,54,54,48.1356393130136,48.635648912943,42.1303509043,1,,1,0.283825604878,1.0,15.0,,1,1.0
w,go,11,130,2,actual,low,w,gonogo,58,,54,54,49.63467509617294,50.134683928106824,,1,,1,0.325586574845,1.0,15.0,,2,1.0
m,nogo,12,130,3,actual,low,w,gonogo,58,,54,54,51.133819166527246,51.633832094430545,,1,,,,1.0,19.0,,3,1.0
w,go,11,130,4,actual,low,w,gonogo,58,,54,54,52.632888741434726,53.13290090134433,,1,,1,0.27557785811,1.0,15.0,,4,1.0
w,go,11,130,5,actual,low,w,gonogo,58,,54,54,54.13195268438358,54.63196279630938,,1,,1,0.283853252673,1.0,15.0,,5,1.0
w,go,11,130,6,actual,low,w,gonogo,58,,54,54,55.63201809189741,56.132030763803414,,1,,1,0.283926724127,1.0,15.0,,6,1.0
w,go,11,130,7,actual,low,w,gonogo,58,,54,54,57.13209681131411,57.632105387250704,,1,,1,0.359188885381,1.0,15.0,,7,1.0
w,go,11,130,8,actual,low,w,gonogo,58,,54,54,58.63218781863725,59.13219562658014,,1,,1,0.308927242524,1.0,15.0,,8,1.0
m,nogo,12,130,9,actual,low,w,gonogo,58,,54,54,60.13226013810163,60.632269482031916,,1,,,,1.0,19.0,,9,1.0
w,go,11,130,10,actual,low,w,gonogo,58,,54,54,61.63233271356148,62.13234410547739,,1,,1,0.250590139618,1.0,15.0,,10,1.0
w,go,11,130,11,actual,low,w,gonogo,58,,54,54,63.13237892122015,63.632389033144136,,1,,1,0.358904471494,1.0,15.0,,11,1.0
m,nogo,12,130,12,actual,low,w,gonogo,58,,54,54,64.6324709525361,65.13248004046909,,1,,,,1.0,19.0,,12,1.0
m,nogo,12,130,1,actual,high,w,gonogo,58,,54,54,66.14525536962537,66.64526394556015,,2,,1,0.317223884929,1.0,16.0,,13,0.0
m,nogo,12,130,2,actual,high,w,gonogo,58,,54,54,67.64456327876178,68.14457646266419,,2,,,,1.0,19.0,,14,1.0
m,nogo,12,130,3,actual,high,w,gonogo,58,,54,54,69.14366050146418,69.64366958939718,,2,,,,1.0,19.0,,15,1.0
m,nogo,12,130,4,actual,high,w,gonogo,58,,54,54,70.642735452333,71.14274402826959,,2,,,,1.0,19.0,,16,1.0
w,go,11,130,5,actual,high,w,gonogo,58,,54,54,72.14180297925486,72.64181488316717,,2,,1,0.317208525044,1.0,15.0,,17,1.0
w,go,11,130,6,actual,high,w,gonogo,58,,54,54,73.64088023410477,74.14089137002338,,2,,1,0.317280460511,1.0,15.0,,18,1.0
w,go,11,130,7,actual,high,w,gonogo,58,,54,54,75.1399585129493,75.6399678568796,,2,,1,0.317221836944,1.0,15.0,,19,1.0
w,go,11,130,8,actual,high,w,gonogo,58,,54,54,76.63902091990894,77.13903026383923,,2,,1,0.300606536297,1.0,15.0,,20,1.0
w,go,11,130,9,actual,high,w,gonogo,58,,54,54,78.1380840948641,78.63809395079079,,2,,1,0.292173702901,1.0,15.0,,21,1.0
w,go,11,130,10,actual,high,w,gonogo,58,,54,54,79.63717261363126,80.13718195756155,,2,,1,0.275588098033,1.0,15.0,,22,1.0
m,nogo,12,130,11,actual,high,w,gonogo,58,,54,54,81.13618305297678,81.63620314882792,,2,,1,0.28388602043,1.0,16.0,,23,0.0
m,nogo,12,130,12,actual,high,w,gonogo,58,,54,54,82.6353071554804,83.13532085137922,,2,,,,1.0,19.0,,24,1.0
w,go,11,130,1,actual,low,w,gonogo,58,,54,54,84.18013690266343,84.68014419860992,,3,,1,0.317224140928,1.0,15.0,,25,1.0
w,go,11,130,2,actual,low,w,gonogo,58,,54,54,85.67949063546257,86.17950228337577,,3,,1,0.275615745828,1.0,15.0,,26,1.0
w,go,11,130,3,actual,low,w,gonogo,58,,54,54,87.1795560429764,87.6795664108995,,3,,1,0.325531791252,1.0,15.0,,27,1.0
w,go,11,130,4,actual,low,w,gonogo,58,,54,54,88.67964935428427,89.17965972220736,,3,,1,0.392359071127,1.0,15.0,,28,1.0
m,nogo,12,130,5,actual,low,w,gonogo,58,,54,54,90.17971629778731,90.6797276897014,,3,,,,1.0,19.0,,29,1.0
w,go,11,130,6,actual,low,w,gonogo,58,,54,54,91.6797975771824,92.17980922509742,,3,,1,0.317238220823,1.0,15.0,,30,1.0
w,go,11,130,7,actual,low,w,gonogo,58,,54,54,93.17884513625359,93.67885371219018,,3,,,,1.0,18.0,,31,0.0
m,nogo,12,130,8,actual,low,w,gonogo,58,,54,54,94.67793186303425,95.17794171896094,,3,,,,1.0,19.0,,32,1.0
w,go,11,130,9,actual,low,w,gonogo,58,,54,54,96.17700783789405,96.67702050980006,,3,,1,0.233885495634,1.0,15.0,,33,1.0
w,go,11,130,10,actual,low,w,gonogo,58,,54,54,97.67608688473229,98.17609878864278,,3,,1,0.2755655702,1.0,15.0,,34,1.0
w,go,11,130,11,actual,low,w,gonogo,58,,54,54,99.17515876362086,99.67516861954937,,3,,1,0.350556885465,1.0,15.0,,35,1.0
m,nogo,12,130,12,actual,low,w,gonogo,58,,54,54,100.67422757053464,101.17423870645143,,3,,,,1.0,19.0,,36,1.0
m,nogo,12,130,1,actual,high,w,gonogo,58,,54,54,102.184471462484,102.68448080641429,,4,,1,0.21715909181,1.0,16.0,,37,0.0
w,go,11,130,2,actual,high,w,gonogo,58,,54,54,103.68434128745139,104.18435139937537,,4,,,,1.0,18.0,,38,0.0
m,nogo,12,130,3,actual,high,w,gonogo,58,,54,54,105.18342545425003,105.68343710216323,,4,,,,1.0,19.0,,39,1.0
w,go,11,130,4,actual,high,w,gonogo,58,,54,54,106.68249042119169,107.182502325104,,4,,1,0.250527676082,1.0,15.0,,40,1.0
m,nogo,12,130,5,actual,high,w,gonogo,58,,54,54,108.18157561198313,108.68158777189274,,4,,,,1.0,19.0,,41,1.0
m,nogo,12,130,6,actual,high,w,gonogo,58,,54,54,109.68064774687082,110.18065913878672,,4,,,,1.0,19.0,,42,1.0
w,go,11,130,7,actual,high,w,gonogo,58,,54,54,111.17971680978371,111.67972717770499,,4,,1,0.417199078714,1.0,15.0,,43,1.0
m,nogo,12,130,8,actual,high,w,gonogo,58,,54,54,112.67879969659225,113.17880904052254,,4,,,,1.0,19.0,,44,1.0
w,go,11,130,9,actual,high,w,gonogo,58,,54,54,114.17785109563374,114.67786146355684,,4,,1,0.208845041534,1.0,15.0,,45,1.0
m,nogo,12,130,10,actual,high,w,gonogo,58,,54,54,115.67693577442878,116.17694511835907,,4,,,,1.0,19.0,,46,1.0
w,go,11,130,11,actual,high,w,gonogo,58,,54,54,117.1760109812949,117.67602262920809,,4,,1,0.325544335159,1.0,15.0,,47,1.0
w,go,11,130,12,actual,high,w,gonogo,58,,54,54,118.6750882361448,119.17509937206341,,4,,1,0.317282764492,1.0,15.0,,48,1.0
m,nogo,12,130,1,actual,low,w,gonogo,58,,54,54,120.22004803036361,120.7200796461293,,5,,,,1.0,19.0,,49,1.0
w,go,11,130,2,actual,low,w,gonogo,58,,54,54,121.7192543082565,122.21926493217688,,5,,1,0.242240249609,1.0,15.0,,50,1.0
w,go,11,130,3,actual,low,w,gonogo,58,,54,54,123.21834257102455,123.71835319494676,,5,,,,1.0,18.0,,51,0.0
w,go,11,130,4,actual,low,w,gonogo,58,,54,54,124.71742238585648,125.21743172978677,,5,,1,0.300555080679,1.0,15.0,,52,1.0
w,go,11,130,5,actual,low,w,gonogo,58,,54,54,126.21644818508867,126.71646188098748,,5,,1,0.300549192722,1.0,15.0,,53,1.0
w,go,11,130,6,actual,low,w,gonogo,58,,54,54,127.71555846369483,128.21556703963142,,5,,1,0.233928503316,1.0,15.0,,54,1.0
w,go,11,130,7,actual,low,w,gonogo,58,,54,54,129.21463367056094,129.71464455047862,,5,,1,0.258872958128,1.0,15.0,,55,1.0
