stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,go,11,130,1,actual,low,w,gonogo,58,,54,54,33.13490178248867,33.63491061442255,27.1319759802,1,,1,0.383904221895,1.0,15.0,,1,1.0
w,go,11,130,2,actual,low,w,gonogo,58,,54,54,34.63441577009689,35.13442537002629,,1,,1,0.325502863467,1.0,15.0,,2,1.0
m,nogo,12,130,3,actual,low,w,gonogo,58,,54,54,36.13448527358014,36.63449410551584,,1,,,,1.0,19.0,,3,1.0
w,go,11,130,4,actual,low,w,gonogo,58,,54,54,37.63455887303462,38.134571288941515,,1,,1,0.325520271337,1.0,15.0,,4,1.0
w,go,11,130,5,actual,low,w,gonogo,58,,54,54,39.13461301663301,39.6346215925696,,1,,1,0.383903965898,1.0,15.0,,5,1.0
m,nogo,12,130,6,actual,low,w,gonogo,58,,54,54,40.63470683993546,41.13471720785856,,1,,,,1.0,19.0,,6,1.0
w,go,11,130,7,actual,low,w,gonogo,58,,54,54,42.13477787940792,42.63479080731304,,1,,1,0.267242815989,1.0,15.0,,7,1.0
w,go,11,130,8,actual,low,w,gonogo,58,,54,54,43.634849430876784,44.13485954280259,,1,,1,0.317254604701,1.0,15.0,,8,1.0
w,go,11,130,9,actual,low,w,gonogo,58,,54,54,45.13492379832496,45.634933654251654,,1,,1,0.325577102916,1.0,15.0,,9,1.0
w,go,11,130,10,actual,low,w,gonogo,58,,54,54,46.6350132696607,47.13502517357301,,1,,,,1.0,18.0,,10,0.0
w,go,11,130,11,actual,low,w,gonogo,58,,54,54,48.13507227722221,48.63508315714171,,1,,1,0.283871684538,1.0,15.0,,11,1.0
w,go,11,130,12,actual,low,w,gonogo,58,,54,54,49.635131796781934,50.135141396709514,,1,,1,0.283846596723,1.0,15.0,,12,1.0
m,nogo,12,130,1,actual,high,w,gonogo,58,,54,54,51.14723935489383,51.64725151480525,,2,,,,1.0,19.0,,13,1.0
m,nogo,12,130,2,actual,high,w,gonogo,58,,54,54,52.64627385806307,53.14628473798257,,2,,1,0.325538447203,1.0,16.0,,14,0.0
m,nogo,12,130,3,actual,high,w,gonogo,58,,54,54,54.14534548095435,54.645355080883746,,2,,,,1.0,19.0,,15,1.0
m,nogo,12,130,4,actual,high,w,gonogo,58,,54,54,55.644407887915804,56.14442055982181,,2,,,,1.0,19.0,,16,1.0
w,go,11,130,5,actual,high,w,gonogo,58,,54,54,57.1434815587927,57.643492694709494,,2,,1,0.325623694571,1.0,15.0,,17,1.0
m,nogo,12,130,6,actual,high,w,gonogo,58,,54,54,58.64257852549599,59.1425917093984,,2,,,,1.0,19.0,,18,1.0
w,go,11,130,7,actual,high,w,gonogo,58,,54,54,60.141646308416966,60.64165872432568,,2,,1,0.350566869391,1.0,15.0,,19,1.0
m,nogo,12,130,8,actual,high,w,gonogo,58,,54,54,61.640721515283076,62.14073367519268,,2,,,,1.0,19.0,,20,1.0
w,go,11,130,9,actual,high,w,gonogo,58,,54,54,63.14080663465029,63.640815722583284,,2,,1,0.358941079221,1.0,15.0,,21,1.0
w,go,11,130,10,actual,high,w,gonogo,58,,54,54,64.64086769019741,65.14087729012681,,2,,,,1.0,18.0,,22,0.0
w,go,11,130,11,actual,high,w,gonogo,58,,54,54,66.14093181772114,66.64094397763074,,2,,1,0.325547919132,1.0,15.0,,23,1.0
w,go,11,130,12,actual,high,w,gonogo,58,,54,54,67.64098288934292,68.14099428125883,,2,,1,0.325498255501,1.0,15.0,,24,1.0
w,go,11,130,1,actual,low,w,gonogo,58,,54,54,69.18609372243918,69.68610332236858,,3,,1,0.317216972982,1.0,15.0,,25,1.0
m,nogo,12,130,2,actual,low,w,gonogo,58,,54,54,70.68618165778753,71.18619330570073,,3,,,,1.0,19.0,,26,1.0
