stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,nogo,12,145,1,actual,low,w,gonogo,58,,54,54,39.956488003032064,40.45649990694437,33.9498689162,1,,,,1.0,19.0,,1,1.0
w,go,11,145,2,actual,low,w,gonogo,58,,54,54,41.456277188597596,41.95628755652069,,1,,1,0.233839671973,1.0,15.0,,2,1.0
m,nogo,12,145,3,actual,low,w,gonogo,58,,54,54,42.95535213946641,43.4553648113706,,1,,,,1.0,19.0,,3,1.0
w,go,11,145,4,actual,low,w,gonogo,58,,54,54,44.45443963424077,44.954452050147665,,1,,1,0.283826628871,1.0,15.0,,4,1.0
m,nogo,12,145,5,actual,low,w,gonogo,58,,54,54,45.953506137169825,46.45351778508302,,1,,,,1.0,19.0,,5,1.0
w,go,11,145,6,actual,low,w,gonogo,58,,54,54,47.452584928008946,47.95259529593204,,1,,1,0.242214393802,1.0,15.0,,6,1.0
w,go,11,145,7,actual,low,w,gonogo,58,,54,54,48.95164912695691,49.45165872688631,,1,,1,0.317247692754,1.0,15.0,,7,1.0
w,go,11,145,8,actual,low,w,gonogo,58,,54,54,50.450721773840996,50.9507318857668,,1,,1,0.258854270265,1.0,15.0,,8,1.0
w,go,11,145,9,actual,low,w,gonogo,58,,54,54,51.9497972367044,52.449808884619415,,1,,1,0.358912919432,1.0,15.0,,9,1.0
w,go,11,145,10,actual,low,w,gonogo,58,,54,54,53.44885810767664,53.94886975558984,,1,,1,0.34225230712,1.0,15.0,,10,1.0
w,go,11,145,11,actual,low,w,gonogo,58,,54,54,54.94787315498979,55.447883010916485,,1,,1,0.333934416871,1.0,15.0,,11,1.0
w,go,11,145,12,actual,low,w,gonogo,58,,54,54,56.44702925725505,56.9470537050729,,1,,1,0.317172685311,1.0,15.0,,12,1.0
m,nogo,12,145,1,actual,high,w,gonogo,58,,54,54,57.95929553419046,58.45930539011715,,2,,,,1.0,19.0,,13,1.0
w,go,11,145,2,actual,high,w,gonogo,58,,54,54,59.45812165490497,59.958143030746214,,2,,1,0.250549435921,1.0,15.0,,14,1.0
m,nogo,12,145,3,actual,high,w,gonogo,58,,54,54,60.95720249372789,61.45721106966448,,2,,,,1.0,19.0,,15,1.0
m,nogo,12,145,4,actual,high,w,gonogo,58,,54,54,62.456274884614686,62.95628627653059,,2,,,,1.0,19.0,,16,1.0
w,go,11,145,5,actual,high,w,gonogo,58,,54,54,63.95536289138545,64.45537581929057,,2,,1,0.275548674326,1.0,15.0,,17,1.0
w,go,11,145,6,actual,high,w,gonogo,58,,54,54,65.4544217143739,65.95443361828438,,2,,1,0.275654145542,1.0,15.0,,18,1.0
m,nogo,12,145,7,actual,high,w,gonogo,58,,54,54,66.95350332119051,67.45351496910553,,2,,,,1.0,19.0,,19,1.0
m,nogo,12,145,8,actual,high,w,gonogo,58,,54,54,68.45257545608001,68.952585568004,,2,,,,1.0,19.0,,20,1.0
w,go,11,145,9,actual,high,w,gonogo,58,,54,54,69.95164707897129,70.45165693489798,,2,,1,0.392297631583,1.0,15.0,,21,1.0
w,go,11,145,10,actual,high,w,gonogo,58,,54,54,71.45071537388867,71.95072727780098,,2,,1,0.325548687126,1.0,15.0,,22,1.0
w,go,11,145,11,actual,high,w,gonogo,58,,54,54,72.94978930076468,73.44980146067428,,2,,1,0.242328312954,1.0,15.0,,23,1.0
