stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,162,1,actual,low,m,gonogo,58,,54,54,49.595977665758255,50.09599033763152,43.5870136593,1,,1,0.283779310746,1.0,15.0,,1,1.0
w,nogo,12,162,2,actual,low,m,gonogo,58,,54,54,51.09584569907565,51.59585453098771,,1,,1,0.233868001062,1.0,16.0,,2,0.0
m,go,11,162,3,actual,low,m,gonogo,58,,54,54,52.5946426390874,53.0946540309742,,1,,1,0.258854887592,1.0,15.0,,3,1.0
w,nogo,12,162,4,actual,low,m,gonogo,58,,54,54,54.09334946799936,54.593368027813995,,1,,,,1.0,19.0,,4,1.0
m,go,11,162,5,actual,low,m,gonogo,58,,54,54,55.593349595998006,56.09336124388028,,1,,1,0.242149774378,1.0,15.0,,5,1.0
m,go,11,162,6,actual,low,m,gonogo,58,,54,54,57.09336303586315,57.593374939744535,,1,,1,0.383836679775,1.0,15.0,,6,1.0
m,go,11,162,7,actual,low,m,gonogo,58,,54,54,58.59344073108696,59.093451866976466,,1,,1,0.300557127237,1.0,15.0,,7,1.0
w,nogo,12,162,8,actual,low,m,gonogo,58,,54,54,60.09337685972605,60.59338594763358,,1,,,,1.0,19.0,,8,1.0
m,go,11,162,9,actual,low,m,gonogo,58,,54,54,61.59337161177791,62.09337967569627,,1,,1,0.275558208827,1.0,15.0,,9,1.0
m,go,11,162,10,actual,low,m,gonogo,58,,54,54,63.09339119558172,63.59340437944957,,1,,1,0.358822657516,1.0,15.0,,10,1.0
m,go,11,162,11,actual,low,m,gonogo,58,,54,54,64.59339388355511,65.09340348345904,,1,,1,0.275501121398,1.0,15.0,,11,1.0
m,go,11,162,12,actual,low,m,gonogo,58,,54,54,66.09340015549242,66.59341308336298,,1,,1,0.308764149298,1.0,15.0,,12,1.0
m,go,11,162,1,actual,high,m,gonogo,58,,54,54,67.60538813180392,68.10539901169614,,2,,1,0.342175655718,1.0,15.0,,13,1.0
w,nogo,12,162,2,actual,high,m,gonogo,58,,54,54,69.10587977489558,69.60589116678238,,2,,,,1.0,19.0,,14,1.0
m,go,11,162,3,actual,high,m,gonogo,58,,54,54,70.60590831861191,71.10591663852756,,2,,1,0.267134868925,1.0,15.0,,15,1.0
w,nogo,12,162,4,actual,high,m,gonogo,58,,54,54,72.1059104945889,72.60591804651449,,2,,,,1.0,19.0,,16,1.0
m,go,11,162,5,actual,high,m,gonogo,58,,54,54,73.60593673432777,74.10594940620103,,2,,1,0.242107278802,1.0,15.0,,17,1.0
m,go,11,162,6,actual,high,m,gonogo,58,,54,54,75.1059235504581,75.60593545433949,,2,,1,0.392153524739,1.0,15.0,,18,1.0
m,go,11,162,7,actual,high,m,gonogo,58,,54,54,76.60592214247299,77.10593123038234,,2,,1,0.292179610879,1.0,15.0,,19,1.0
w,nogo,12,162,8,actual,high,m,gonogo,58,,54,54,78.10591331056094,78.60592342245945,,2,,,,1.0,19.0,,20,1.0
w,nogo,12,162,9,actual,high,m,gonogo,58,,54,54,79.60594313426373,80.10595478214782,,2,,1,0.242191501959,1.0,16.0,,21,0.0
m,go,11,162,10,actual,high,m,gonogo,58,,54,54,81.10594735822087,81.60595644613022,,2,,1,0.275475521654,1.0,15.0,,22,1.0
w,nogo,12,162,11,actual,high,m,gonogo,58,,54,54,82.60595567813834,83.10596553403957,,2,,,,1.0,19.0,,23,1.0
w,nogo,12,162,12,actual,high,m,gonogo,58,,54,54,84.10595017419291,84.60595926210226,,2,,,,1.0,19.0,,24,1.0
w,nogo,12,162,1,actual,low,m,gonogo,58,,54,54,85.65034640294107,86.15035472285854,,3,,1,0.300453192274,1.0,16.0,,25,0.0
