stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,131,1,actual,low,m,gonogo,58,,54,54,39.58452250850678,40.08454234835881,33.5795428335,1,,1,0.358782872398,1.0,15.0,,1,1.0
m,go,11,131,2,actual,low,m,gonogo,58,,54,54,41.08377000209293,41.583782162000716,,1,,1,0.325600654738,1.0,15.0,,2,1.0
w,nogo,12,131,3,actual,low,m,gonogo,58,,54,54,42.58286876078273,43.08288143268874,,1,,1,0.300551752702,1.0,16.0,,3,0.0
m,go,11,131,4,actual,low,m,gonogo,58,,54,54,44.08190991990341,44.5819218238139,,1,,1,0.383897309948,1.0,15.0,,4,1.0
w,nogo,12,131,5,actual,low,m,gonogo,58,,54,54,45.58097360685133,46.08098679075556,,1,,,,1.0,19.0,,5,1.0
m,go,11,131,6,actual,low,m,gonogo,58,,54,54,47.080073389537574,47.58008170947505,,1,,,,1.0,18.0,,6,0.0
m,go,11,131,7,actual,low,m,gonogo,58,,54,54,48.57915806833262,49.0791702282404,,1,,1,0.392236960033,1.0,15.0,,7,1.0
m,go,11,131,8,actual,low,m,gonogo,58,,54,54,50.078214587334514,50.578227771238744,,1,,,,1.0,18.0,,8,0.0
m,go,11,131,9,actual,low,m,gonogo,58,,54,54,51.57730797006661,52.07731629000409,,1,,1,0.367148890287,1.0,15.0,,9,1.0
m,go,11,131,10,actual,low,m,gonogo,58,,54,54,53.07635885711352,53.57637204101411,,1,,1,0.392268447798,1.0,15.0,,10,1.0
m,go,11,131,11,actual,low,m,gonogo,58,,54,54,54.57549473552717,55.0755066394413,,1,,1,0.367165530166,1.0,15.0,,11,1.0
m,go,11,131,12,actual,low,m,gonogo,58,,54,54,56.07451720678364,56.57452578272205,,1,,1,0.417307109914,1.0,15.0,,12,1.0
m,go,11,131,1,actual,high,m,gonogo,58,,54,54,57.585571332718246,58.085581188646756,,2,,1,0.292199302712,1.0,15.0,,13,1.0
w,nogo,12,131,2,actual,high,m,gonogo,58,,54,54,59.084612235837994,59.58462132377099,,2,,,,1.0,19.0,,14,1.0
m,go,11,131,3,actual,high,m,gonogo,58,,54,54,60.58375989016713,61.083767954107316,,2,,1,0.333816657745,1.0,15.0,,15,1.0
m,go,11,131,4,actual,high,m,gonogo,58,,54,54,62.082777753457776,62.58278888937639,,2,,1,0.333929808905,1.0,15.0,,16,1.0
w,nogo,12,131,5,actual,high,m,gonogo,58,,54,54,63.581860896265425,64.08187024019571,,2,,,,1.0,19.0,,17,1.0
w,nogo,12,131,6,actual,high,m,gonogo,58,,54,54,65.08092995917832,65.5809433990762,,2,,,,1.0,19.0,,18,1.0
w,nogo,12,131,7,actual,high,m,gonogo,58,,54,54,66.58104733430446,67.08105795822848,,2,,,,1.0,19.0,,19,1.0
m,go,11,131,8,actual,high,m,gonogo,58,,54,54,68.08107767008187,68.58109034198787,,2,,1,0.433928554514,1.0,15.0,,20,1.0
m,go,11,131,9,actual,high,m,gonogo,58,,54,54,69.58020970852522,70.08022007644831,,2,,1,0.383908829863,1.0,15.0,,21,1.0
w,nogo,12,131,10,actual,high,m,gonogo,58,,54,54,71.0792370437448,71.57925048364632,,2,,,,1.0,19.0,,22,1.0
m,go,11,131,11,actual,high,m,gonogo,58,,54,54,72.57829177076201,73.07830034670042,,2,,1,0.317277388534,1.0,15.0,,23,1.0
w,nogo,12,131,12,actual,high,m,gonogo,58,,54,54,74.07836281023629,74.57837369015397,,2,,,,1.0,19.0,,24,1.0
m,go,11,131,1,actual,low,m,gonogo,58,,54,54,75.62309143817038,76.12310180609347,,3,,1,0.308939274433,1.0,15.0,,25,1.0
m,go,11,131,2,actual,low,m,gonogo,58,,54,54,77.12260081781278,77.62261169773046,,3,,1,0.317259980664,1.0,15.0,,26,1.0
