stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,nogo,12,133,1,actual,low,w,gonogo,58,,54,54,40.518479350808775,41.018491254721084,34.5162378315,1,,,,1.0,19.0,,1,1.0
w,go,11,133,2,actual,low,w,gonogo,58,,54,54,42.01749747009853,42.51750988600725,,1,,1,0.30891572261,1.0,15.0,,2,1.0
m,nogo,12,133,3,actual,low,w,gonogo,58,,54,54,43.516608260701105,44.0166214446017,,1,,,,1.0,19.0,,3,1.0
w,go,11,133,4,actual,low,w,gonogo,58,,54,54,45.015668619676944,45.515676171620726,,1,,1,0.275579650097,1.0,15.0,,4,1.0
w,go,11,133,5,actual,low,w,gonogo,58,,54,54,46.514749458499864,47.01475854643286,,1,,1,0.37556841178,1.0,15.0,,5,1.0
w,go,11,133,6,actual,low,w,gonogo,58,,54,54,48.013821593389366,48.513829913326845,,1,,1,0.267254591901,1.0,15.0,,6,1.0
w,go,11,133,7,actual,low,w,gonogo,58,,54,54,49.512887584322016,50.01289820824422,,1,,1,0.317248460748,1.0,15.0,,7,1.0
w,go,11,133,8,actual,low,w,gonogo,58,,54,54,51.01196099920162,51.51197034313191,,1,,1,0.317262284645,1.0,15.0,,8,1.0
w,go,11,133,9,actual,low,w,gonogo,58,,54,54,52.5110536139382,53.01106193387568,,1,,1,0.300476489263,1.0,15.0,,9,1.0
w,go,11,133,10,actual,low,w,gonogo,58,,54,54,54.01012370084209,54.51013483675888,,1,,1,0.308899850728,1.0,15.0,,10,1.0
m,nogo,12,133,11,actual,low,w,gonogo,58,,54,54,55.50919353174686,56.00920364367266,,1,,1,0.308880138875,1.0,16.0,,11,0.0
w,go,11,133,12,actual,low,w,gonogo,58,,54,54,57.008262594657936,57.508271170594526,,1,,1,0.358898839535,1.0,15.0,,12,1.0
m,nogo,12,133,1,actual,high,w,gonogo,58,,54,54,58.51893502742678,59.018943091366964,,2,,,,1.0,19.0,,13,1.0
w,go,11,133,2,actual,high,w,gonogo,58,,54,54,60.018359159701504,60.5183674796408,,2,,1,0.342255123098,1.0,15.0,,14,1.0
m,nogo,12,133,3,actual,high,w,gonogo,58,,54,54,61.51746355034993,62.01747315027933,,2,,,,1.0,19.0,,15,1.0
w,go,11,133,4,actual,high,w,gonogo,58,,54,54,63.0165300532808,63.51654298118592,,2,,1,0.30061140026,1.0,15.0,,16,1.0
m,nogo,12,133,5,actual,high,w,gonogo,58,,54,54,64.51560986811273,65.01561921204302,,2,,,,1.0,19.0,,17,1.0
m,nogo,12,133,6,actual,high,w,gonogo,58,,54,54,66.01467381106158,66.51468289899458,,2,,,,1.0,19.0,,18,1.0
m,nogo,12,133,7,actual,high,w,gonogo,58,,54,54,67.51373980199605,68.01375247390206,,2,,,,1.0,19.0,,19,1.0
w,go,11,133,8,actual,high,w,gonogo,58,,54,54,69.0128244807911,69.51283254473128,,2,,1,0.292272518169,1.0,15.0,,20,1.0
m,nogo,12,133,9,actual,high,w,gonogo,58,,54,54,70.51188893573635,71.01189879166304,,2,,,,1.0,19.0,,21,1.0
w,go,11,133,10,actual,high,w,gonogo,58,,54,54,72.0109515986951,72.5109627346119,,2,,1,0.317271500577,1.0,15.0,,22,1.0
w,go,11,133,11,actual,high,w,gonogo,58,,54,54,73.51004114145508,74.01005355736197,,2,,1,0.333855569457,1.0,15.0,,23,1.0
w,go,11,133,12,actual,high,w,gonogo,58,,54,54,75.00911225234995,75.50912031629014,,2,,1,0.283929284109,1.0,15.0,,24,1.0
w,go,11,133,1,actual,low,w,gonogo,58,,54,54,76.5534835069393,77.0534956668489,,3,,1,0.300513864986,1.0,15.0,,25,1.0
w,go,11,133,2,actual,low,w,gonogo,58,,54,54,78.05230271570508,78.55231103564256,,3,,1,0.300585288454,1.0,15.0,,26,1.0
w,go,11,133,3,actual,low,w,gonogo,58,,54,54,79.55136973063054,80.05138189054014,,3,,1,0.283861188615,1.0,15.0,,27,1.0
m,nogo,12,133,4,actual,low,w,gonogo,58,,54,54,81.05045492142199,81.550466569337,,3,,,,1.0,19.0,,28,1.0
w,go,11,133,5,actual,low,w,gonogo,58,,54,54,82.54951476840324,83.04952641631644,,3,,1,0.333844049543,1.0,15.0,,29,1.0
w,go,11,133,6,actual,low,w,gonogo,58,,54,54,84.04858946327113,84.54859803920772,,3,,1,0.325643150425,1.0,15.0,,30,1.0
w,go,11,133,7,actual,low,w,gonogo,58,,54,54,85.54766134216152,86.04767017409722,,3,,1,0.267244351977,1.0,15.0,,31,1.0
w,go,11,133,8,actual,low,w,gonogo,58,,54,54,87.04674397297276,87.54675434089586,,3,,1,0.283918532188,1.0,15.0,,32,1.0
w,go,11,133,9,actual,low,w,gonogo,58,,54,54,88.54580663593151,89.04582084382673,,3,,1,0.28386861256,1.0,15.0,,33,1.0
w,go,11,133,10,actual,low,w,gonogo,58,,54,54,90.04491793852867,90.54492779445536,,3,,1,0.300611912256,1.0,15.0,,34,1.0
m,nogo,12,133,11,actual,low,w,gonogo,58,,54,54,91.54395244169791,92.0439612736318,,3,,,,1.0,19.0,,35,1.0
w,go,11,133,12,actual,low,w,gonogo,58,,54,54,93.04302662457121,93.5430354565051,,3,,1,0.317262796641,1.0,15.0,,36,1.0
m,nogo,12,133,1,actual,high,w,gonogo,58,,54,54,94.55224140416067,95.05224844410805,,4,,,,1.0,19.0,,37,1.0
