stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,go,11,105,1,actual,low,w,gonogo,58,,54,54,94.0660151669017,94.56602579084938,47.4060915928,1,,1,0.325498064776,1.0,15.0,,1,1.0
m,nogo,12,105,2,actual,low,w,gonogo,58,,54,54,95.56560108891608,96.06561350485572,,1,,,,1.0,19.0,,2,1.0
m,nogo,12,105,3,actual,low,w,gonogo,58,,54,54,97.06567852853914,97.56568761649578,,1,,,,1.0,19.0,,3,1.0
w,go,11,105,4,actual,low,w,gonogo,58,,54,54,98.5657467522069,99.06575584016355,,1,,1,0.350569046834,1.0,15.0,,4,1.0
m,nogo,12,105,5,actual,low,w,gonogo,58,,54,54,100.06582828781029,100.5658363517723,,1,,,,1.0,19.0,,5,1.0
w,go,11,105,6,actual,low,w,gonogo,58,,54,54,101.56590828742264,102.06591711937835,,1,,1,0.333803688378,1.0,15.0,,6,1.0
w,go,11,105,7,actual,low,w,gonogo,58,,54,54,103.06598137506626,103.56599251101215,,1,,,,1.0,18.0,,7,0.0
w,go,11,105,8,actual,low,w,gonogo,58,,54,54,104.56605753469557,105.06606892664058,,1,,1,0.400573027613,1.0,15.0,,8,1.0
w,go,11,105,9,actual,low,w,gonogo,58,,54,54,106.06613292632937,106.56614380627616,,1,,1,0.383880116808,1.0,15.0,,9,1.0
w,go,11,105,10,actual,low,w,gonogo,58,,54,54,107.56621343793813,108.06622278189207,,1,,,,1.0,18.0,,10,0.0
w,go,11,105,11,actual,low,w,gonogo,58,,54,54,109.06628882957011,109.56629817352587,,1,,1,0.325539280577,1.0,15.0,,11,1.0
w,go,11,105,12,actual,low,w,gonogo,58,,54,54,110.56635910122895,111.06636998117574,,1,,,,1.0,18.0,,12,0.0
w,go,11,105,1,actual,high,w,gonogo,58,,54,54,112.07894054403369,112.57895295997332,,2,,1,0.34220582351,1.0,15.0,,13,1.0
w,go,11,105,2,actual,high,w,gonogo,58,,54,54,113.57851417810707,114.0785265940467,,2,,,,1.0,18.0,,14,0.0
m,nogo,12,105,3,actual,high,w,gonogo,58,,54,54,115.07758144664331,115.57758976660261,,2,,,,1.0,19.0,,15,1.0
w,go,11,105,4,actual,high,w,gonogo,58,,54,54,116.57666509910086,117.07667469905391,,2,,1,0.408987962683,1.0,15.0,,16,1.0
w,go,11,105,5,actual,high,w,gonogo,58,,54,54,118.0757290396541,118.5757401756,,2,,,,1.0,18.0,,17,0.0
w,go,11,105,6,actual,high,w,gonogo,58,,54,54,119.57480014817156,120.0748092361282,,2,,,,1.0,18.0,,18,0.0
w,go,11,105,7,actual,high,w,gonogo,58,,54,54,121.07390453652806,121.573913880482,,2,,,,1.0,18.0,,19,0.0
m,nogo,12,105,8,actual,high,w,gonogo,58,,54,54,122.57298178901692,123.07299036497534,,2,,,,1.0,19.0,,20,1.0
m,nogo,12,105,9,actual,high,w,gonogo,58,,54,54,124.07204368157909,124.57205430552676,,2,,,,1.0,19.0,,21,1.0
m,nogo,12,105,10,actual,high,w,gonogo,58,,54,54,125.57212444918696,126.07213584113015,,2,,,,1.0,19.0,,22,1.0
m,nogo,12,105,11,actual,high,w,gonogo,58,,54,54,127.07219676883506,127.57220534479347,,2,,,,1.0,19.0,,23,1.0
m,nogo,12,105,12,actual,high,w,gonogo,58,,54,54,128.57227830443844,129.0722914883736,,2,,,,1.0,19.0,,24,1.0
w,go,11,105,1,actual,low,w,gonogo,58,,54,54,130.11836281628348,130.61837267223564,,3,,1,0.358851374547,1.0,15.0,,25,1.0
w,go,11,105,2,actual,low,w,gonogo,58,,54,54,131.6184712317554,132.11848364769503,,3,,1,0.358877998417,1.0,15.0,,26,1.0
w,go,11,105,3,actual,low,w,gonogo,58,,54,54,133.11855251135967,133.61856262331094,,3,,1,0.383901876701,1.0,15.0,,27,1.0
