stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,135,1,actual,low,m,gonogo,58,,54,54,29.737659803613496,30.23767093953211,23.7346551539,1,,,,1.0,18.0,,1,0.0
w,nogo,12,135,2,actual,low,m,gonogo,58,,54,54,31.236814881889586,31.736823969818943,,1,,,,1.0,19.0,,2,1.0
m,go,11,135,3,actual,low,m,gonogo,58,,54,54,32.73589700070079,33.2359068566293,,1,,1,0.300862534394,1.0,15.0,,3,1.0
m,go,11,135,4,actual,low,m,gonogo,58,,54,54,34.23496887959118,34.73497771152688,,1,,,,1.0,18.0,,4,0.0
m,go,11,135,5,actual,low,m,gonogo,58,,54,54,35.73404869442311,36.23406059833724,,1,,1,0.367218009775,1.0,15.0,,5,1.0
m,go,11,135,6,actual,low,m,gonogo,58,,54,54,37.234110517965746,37.73411960589874,,1,,1,0.367280729308,1.0,15.0,,6,1.0
m,go,11,135,7,actual,low,m,gonogo,58,,54,54,38.734187189395016,39.23420062929654,,1,,1,0.317228492895,1.0,15.0,,7,1.0
m,go,11,135,8,actual,low,m,gonogo,58,,54,54,40.234286644656095,40.734299828560324,,1,,1,0.292257158282,1.0,15.0,,8,1.0
m,go,11,135,9,actual,low,m,gonogo,58,,54,54,41.73434130025271,42.23435269216861,,1,,1,0.383873502124,1.0,15.0,,9,1.0
m,go,11,135,10,actual,low,m,gonogo,58,,54,54,43.234412083726056,43.73442526762665,,1,,1,0.317234124854,1.0,15.0,,10,1.0
w,nogo,12,135,11,actual,low,m,gonogo,58,,54,54,44.73448568318054,45.23449605110363,,1,,,,1.0,19.0,,11,1.0
m,go,11,135,12,actual,low,m,gonogo,58,,54,54,46.23455928263502,46.73456811456708,,1,,1,0.242200313904,1.0,15.0,,12,1.0
m,go,11,135,1,actual,high,m,gonogo,58,,54,54,47.74642748252518,48.246446810378984,,2,,1,0.37555893985,1.0,15.0,,13,1.0
w,nogo,12,135,2,actual,high,m,gonogo,58,,54,54,49.245726687728165,49.745735007665644,,2,,1,0.350651604764,1.0,16.0,,14,0.0
w,nogo,12,135,3,actual,high,m,gonogo,58,,54,54,50.74475581493607,51.244766950851044,,2,,1,0.267280447708,1.0,16.0,,15,0.0
m,go,11,135,4,actual,high,m,gonogo,58,,54,54,52.243825901838136,52.74384138972164,,2,,1,0.283861188615,1.0,15.0,,16,1.0
w,nogo,12,135,5,actual,high,m,gonogo,58,,54,54,53.74290827665027,54.2429227405446,,2,,,,1.0,19.0,,17,1.0
w,nogo,12,135,6,actual,high,m,gonogo,58,,54,54,55.24197554757484,55.74199769140978,,2,,1,0.30062496816,1.0,16.0,,18,0.0
m,go,11,135,7,actual,high,m,gonogo,58,,54,54,56.74103974652098,57.24105830638291,,2,,1,0.350694868441,1.0,15.0,,19,1.0
w,nogo,12,135,8,actual,high,m,gonogo,58,,54,54,58.24011904935833,58.74013248925621,,2,,,,1.0,19.0,,20,1.0
m,go,11,135,9,actual,high,m,gonogo,58,,54,54,59.7391914402433,60.23920539213941,,2,,1,0.26725638389,1.0,15.0,,21,1.0
m,go,11,135,10,actual,high,m,gonogo,58,,54,54,61.238320406711864,61.73832258269613,,2,,1,0.383962077463,1.0,15.0,,22,1.0
