stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,go,11,154,1,actual,low,w,gonogo,58,,54,54,39.02390734530945,39.523917713205265,33.0146000462,1,,,,1.0,18.0,,1,0.0
w,go,11,154,2,actual,low,w,gonogo,58,,54,54,40.5229945864221,41.023007258295365,,1,,1,0.27562297618,1.0,15.0,,2,1.0
w,go,11,154,3,actual,low,w,gonogo,58,,54,54,42.022072611626754,42.52208323552077,,1,,1,0.342221223264,1.0,15.0,,3,1.0
w,go,11,154,4,actual,low,w,gonogo,58,,54,54,43.5211467968702,44.02115895674888,,1,,1,0.333947897864,1.0,15.0,,4,1.0
w,go,11,154,5,actual,low,w,gonogo,58,,54,54,45.0212073402663,45.52121540418557,,1,,1,0.375527770731,1.0,15.0,,5,1.0
m,nogo,12,154,6,actual,low,w,gonogo,58,,54,54,46.52129092343148,47.02130231531737,,1,,,,1.0,19.0,,6,1.0
m,nogo,12,154,7,actual,low,w,gonogo,58,,54,54,48.02036075671822,48.52037317259419,,1,,,,1.0,19.0,,7,1.0
w,go,11,154,8,actual,low,w,gonogo,58,,54,54,49.519441853892204,50.01945452576638,,1,,1,0.292220058475,1.0,15.0,,8,1.0
m,nogo,12,154,9,actual,low,w,gonogo,58,,54,54,51.018504007255615,51.518515911137,,1,,,,1.0,19.0,,9,1.0
w,go,11,154,10,actual,low,w,gonogo,58,,54,54,52.51756590462173,53.0175742245392,,1,,1,0.292296857708,1.0,15.0,,10,1.0
w,go,11,154,11,actual,low,w,gonogo,58,,54,54,54.017623376048505,54.51763502393169,,1,,1,0.358855937183,1.0,15.0,,11,1.0
w,go,11,154,12,actual,low,w,gonogo,58,,54,54,55.51770388724435,56.01771195116362,,1,,1,0.325625420955,1.0,15.0,,12,1.0
m,nogo,12,154,1,actual,high,w,gonogo,58,,54,54,57.03028219366297,57.530291025574115,,2,,,,1.0,19.0,,13,1.0
m,nogo,12,154,2,actual,high,w,gonogo,58,,54,54,58.529821782259205,59.029832918147804,,2,,,,1.0,19.0,,14,1.0
w,go,11,154,3,actual,high,w,gonogo,58,,54,54,60.02889724749002,60.52890761538674,,2,,1,0.267176084514,1.0,15.0,,15,1.0
m,nogo,12,154,4,actual,high,w,gonogo,58,,54,54,61.527940969037445,62.027953896908,,2,,,,1.0,19.0,,16,1.0
m,nogo,12,154,5,actual,high,w,gonogo,58,,54,54,63.0270233461988,63.52703601807207,,2,,1,0.233816801573,1.0,16.0,,17,0.0
w,go,11,154,6,actual,high,w,gonogo,58,,54,54,64.52609650745217,65.02610764334167,,2,,1,0.392206004216,1.0,15.0,,18,1.0
w,go,11,154,7,actual,high,w,gonogo,58,,54,54,66.0251668527344,66.52517568464646,,2,,1,0.383921158931,1.0,15.0,,19,1.0
w,go,11,154,8,actual,high,w,gonogo,58,,54,54,67.52423156607256,68.02424014198641,,2,,1,0.408894989592,1.0,15.0,,20,1.0
m,nogo,12,154,9,actual,high,w,gonogo,58,,54,54,69.02330447132863,69.52331381523527,,2,,,,1.0,19.0,,21,1.0
m,nogo,12,154,10,actual,high,w,gonogo,58,,54,54,70.52236201673804,71.02237110464739,,2,,,,1.0,19.0,,22,1.0
w,go,11,154,11,actual,high,w,gonogo,58,,54,54,72.02144055393728,72.52144989784392,,2,,1,0.325498446224,1.0,15.0,,23,1.0
w,go,11,154,12,actual,high,w,gonogo,58,,54,54,73.52150954524859,74.02152068113719,,2,,,,1.0,18.0,,24,0.0
w,go,11,154,1,actual,low,w,gonogo,58,,54,54,75.06686166845338,75.5668717803519,,3,,1,0.333870842634,1.0,15.0,,25,1.0
w,go,11,154,2,actual,low,w,gonogo,58,,54,54,76.5656998240529,77.06570737597758,,3,,1,0.37557692224,1.0,15.0,,26,1.0
m,nogo,12,154,3,actual,low,w,gonogo,58,,54,54,78.06477503328642,78.56478463319036,,3,,,,1.0,19.0,,27,1.0
w,go,11,154,4,actual,low,w,gonogo,58,,54,54,79.56380467497456,80.0638140188812,,3,,1,0.317233824738,1.0,15.0,,28,1.0
w,go,11,154,5,actual,low,w,gonogo,58,,54,54,81.06290010800512,81.56291021990455,,3,,1,0.367224749628,1.0,15.0,,29,1.0
w,go,11,154,6,actual,low,w,gonogo,58,,54,54,82.56296807532635,83.0629771632357,,3,,1,0.325566797542,1.0,15.0,,30,1.0
w,go,11,154,7,actual,low,w,gonogo,58,,54,54,84.06304218658715,84.56305204248838,,3,,1,0.317213344942,1.0,15.0,,31,1.0
w,go,11,154,8,actual,low,w,gonogo,58,,54,54,85.5621068999244,86.06211880380579,,3,,1,0.300602182788,1.0,15.0,,32,1.0
m,nogo,12,154,9,actual,low,w,gonogo,58,,54,54,87.06116290934915,87.56117353324316,,3,,,,1.0,19.0,,33,1.0
w,go,11,154,10,actual,low,w,gonogo,58,,54,54,88.56025117445279,89.06025949436935,,3,,1,0.258971622427,1.0,15.0,,34,1.0
w,go,11,154,11,actual,low,w,gonogo,58,,54,54,90.05929361601284,90.55930244792398,,3,,1,0.300479048017,1.0,15.0,,35,1.0
w,go,11,154,12,actual,low,w,gonogo,58,,54,54,91.55937233522673,92.05938167913337,,3,,1,0.29226665001,1.0,15.0,,36,1.0
m,nogo,12,154,1,actual,high,w,gonogo,58,,54,54,93.07053804774841,93.57054739165505,,4,,1,0.233828577456,1.0,16.0,,37,0.0
m,nogo,12,154,2,actual,high,w,gonogo,58,,54,54,94.56950241008781,95.0695135459764,,4,,,,1.0,19.0,,38,1.0
w,go,11,154,3,actual,high,w,gonogo,58,,54,54,96.06858965120136,96.56859950710259,,4,,1,0.317221024865,1.0,15.0,,39,1.0
m,nogo,12,154,4,actual,high,w,gonogo,58,,54,54,97.56862024289512,98.06863317076659,,4,,,,1.0,19.0,,40,1.0
w,go,11,154,5,actual,high,w,gonogo,58,,54,54,99.06769494013406,99.56770402804341,,4,,1,0.258870759435,1.0,15.0,,41,1.0
w,go,11,154,6,actual,high,w,gonogo,58,,54,54,100.56676707739734,101.06677923727602,,4,,1,0.358906880673,1.0,15.0,,42,1.0
w,go,11,154,7,actual,high,w,gonogo,58,,54,54,102.06582923076076,102.56584190263493,,4,,1,0.35876813006,1.0,15.0,,43,1.0
m,nogo,12,154,8,actual,high,w,gonogo,58,,54,54,103.5649034160042,104.06491250391355,,4,,,,1.0,19.0,,44,1.0
w,go,11,154,9,actual,high,w,gonogo,58,,54,54,105.0639796492269,105.56399155310828,,4,,1,0.300537671432,1.0,15.0,,45,1.0
m,nogo,12,154,10,actual,high,w,gonogo,58,,54,54,106.5630287467211,107.06303757863316,,4,,,,1.0,19.0,,46,1.0
w,go,11,154,11,actual,high,w,gonogo,58,,54,54,108.06212085178504,108.56212993969439,,4,,1,0.325534029868,1.0,15.0,,47,1.0
m,nogo,12,154,12,actual,high,w,gonogo,58,,54,54,109.56218984309635,110.06220225897232,,4,,,,1.0,19.0,,48,1.0
w,go,11,154,1,actual,low,w,gonogo,58,,54,54,111.10767252499772,111.60768135690978,,5,,1,0.358870273039,1.0,15.0,,49,1.0
m,nogo,12,154,2,actual,low,w,gonogo,58,,54,54,112.60637704993133,113.10638792982263,,5,,,,1.0,19.0,,50,1.0
m,nogo,12,154,3,actual,low,w,gonogo,58,,54,54,114.10542486743816,114.60543728331413,,5,,,,1.0,19.0,,51,1.0
w,go,11,154,4,actual,low,w,gonogo,58,,54,54,115.60445809309022,116.10446641300769,,5,,1,0.2589342468,1.0,15.0,,52,1.0
w,go,11,154,5,actual,low,w,gonogo,58,,54,54,117.10354610219565,117.6035549341077,,5,,1,0.317220256873,1.0,15.0,,53,1.0
w,go,11,154,6,actual,low,w,gonogo,58,,54,54,118.6036488851696,119.10365694908887,,5,,1,0.400560224806,1.0,15.0,,54,1.0
w,go,11,154,7,actual,low,w,gonogo,58,,54,54,120.10372709238891,120.60373874027209,,5,,1,0.367206829807,1.0,15.0,,55,1.0
