stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,go,11,122,1,actual,low,w,gonogo,58,,54,54,37.584159974645445,38.08416727061194,31.5796799964,1,,1,0.425508586326,1.0,15.0,,1,1.0
w,go,11,122,2,actual,low,w,gonogo,58,,54,54,39.08408663100272,39.58409571895754,,1,,1,0.34219839955,1.0,15.0,,2,1.0
w,go,11,122,3,actual,low,w,gonogo,58,,54,54,40.583162091501435,41.08317041146074,,1,,1,0.342189695592,1.0,15.0,,3,1.0
m,nogo,12,122,4,actual,low,w,gonogo,58,,54,54,42.08225623990438,42.582267119854805,,1,,1,0.283858331313,1.0,16.0,,4,0.0
m,nogo,12,122,5,actual,low,w,gonogo,58,,54,54,43.58132939641291,44.08134206835166,,1,,,,1.0,19.0,,5,1.0
w,go,11,122,6,actual,low,w,gonogo,58,,54,54,45.0804012729277,45.58041087288075,,1,,1,0.367221765835,1.0,15.0,,6,1.0
w,go,11,122,7,actual,low,w,gonogo,58,,54,54,46.57946879746305,47.07947993341077,,1,,1,0.392217740253,1.0,15.0,,7,1.0
w,go,11,122,8,actual,low,w,gonogo,58,,54,54,48.07854476995999,48.57855744189874,,1,,1,0.333868456066,1.0,15.0,,8,1.0
w,go,11,122,9,actual,low,w,gonogo,58,,54,54,49.57763328639339,50.07764314234373,,1,,1,0.367113734359,1.0,15.0,,9,1.0
w,go,11,122,10,actual,low,w,gonogo,58,,54,54,51.07671437886165,51.57672167482451,,1,,1,0.342154623762,1.0,15.0,,10,1.0
w,go,11,122,11,actual,low,w,gonogo,58,,54,54,52.57577524743101,53.07578484738406,,1,,1,0.350496599185,1.0,15.0,,11,1.0
w,go,11,122,12,actual,low,w,gonogo,58,,54,54,54.07487093182863,54.57488053178167,,1,,1,0.275569347632,1.0,15.0,,12,1.0
w,go,11,122,1,actual,high,w,gonogo,58,,54,54,55.586038237510365,56.086045789474156,,2,,1,0.33386308009,1.0,15.0,,13,1.0
w,go,11,122,2,actual,high,w,gonogo,58,,54,54,57.08501385849377,57.585023970445036,,2,,1,0.342232191382,1.0,15.0,,14,1.0
w,go,11,122,3,actual,high,w,gonogo,58,,54,54,58.5840521991704,59.08406282311989,,2,,1,0.342184063615,1.0,15.0,,15,1.0
w,go,11,122,4,actual,high,w,gonogo,58,,54,54,60.083146091576054,60.58315543553181,,2,,1,0.342206847505,1.0,15.0,,16,1.0
m,nogo,12,122,5,actual,high,w,gonogo,58,,54,54,61.58221976008281,62.08223140802511,,2,,,,1.0,19.0,,17,1.0
m,nogo,12,122,6,actual,high,w,gonogo,58,,54,54,63.08129880456181,63.58130917251401,,2,,,,1.0,19.0,,18,1.0
w,go,11,122,7,actual,high,w,gonogo,58,,54,54,64.58037580105156,65.0803874489975,,2,,,,1.0,18.0,,19,0.0
w,go,11,122,8,actual,high,w,gonogo,58,,54,54,66.0794487015628,66.57945676552117,,2,,,,1.0,18.0,,20,0.0
m,nogo,12,122,9,actual,high,w,gonogo,58,,54,54,67.57853337801498,68.07854067397784,,2,,1,0.342121343921,1.0,16.0,,21,0.0
m,nogo,12,122,10,actual,high,w,gonogo,58,,54,54,69.07760115854762,69.57761127049889,,2,,,,1.0,19.0,,22,1.0
m,nogo,12,122,11,actual,high,w,gonogo,58,,54,54,70.57667021907764,71.07668263501546,,2,,,,1.0,19.0,,23,1.0
m,nogo,12,122,12,actual,high,w,gonogo,58,,54,54,72.07575489552983,72.57576705547035,,2,,,,1.0,19.0,,24,1.0
m,nogo,12,122,1,actual,low,w,gonogo,58,,54,54,73.61993912861726,74.11994744857657,,3,,,,1.0,19.0,,25,1.0
w,go,11,122,2,actual,low,w,gonogo,58,,54,54,75.11996357649696,75.61997138445804,,3,,1,0.350530647018,1.0,15.0,,26,1.0
w,go,11,122,3,actual,low,w,gonogo,58,,54,54,76.62002847218173,77.12003884013029,,3,,1,0.32555156852,1.0,15.0,,27,1.0
m,nogo,12,122,4,actual,low,w,gonogo,58,,54,54,78.1201030958182,78.62011525575872,,3,,,,1.0,19.0,,28,1.0
m,nogo,12,122,5,actual,low,w,gonogo,58,,54,54,79.62018360742877,80.12019397537733,,3,,,,1.0,19.0,,29,1.0
w,go,11,122,6,actual,low,w,gonogo,58,,54,54,81.12025874306346,81.62026911101202,,3,,,,1.0,18.0,,30,0.0
w,go,11,122,7,actual,low,w,gonogo,58,,54,54,82.62033823067395,83.12034629463597,,3,,1,0.367228421801,1.0,15.0,,31,1.0
w,go,11,122,8,actual,low,w,gonogo,58,,54,54,84.12041157431668,84.62042373426084,,3,,1,0.392214156269,1.0,15.0,,32,1.0
w,go,11,122,9,actual,low,w,gonogo,58,,54,54,85.62048747795052,86.1204983578973,,3,,,,1.0,18.0,,33,0.0
w,go,11,122,10,actual,low,w,gonogo,58,,54,54,87.12057259753419,87.62058552547387,,3,,1,0.350516311089,1.0,15.0,,34,1.0
w,go,11,122,11,actual,low,w,gonogo,58,,54,54,88.62064440518589,89.12065349314071,,3,,1,0.392217996254,1.0,15.0,,35,1.0
w,go,11,122,12,actual,low,w,gonogo,58,,54,54,90.12071749283132,90.62072606878792,,3,,,,1.0,18.0,,36,0.0
