stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
w,go,11,146,1,actual,low,w,gonogo,58,,54,54,29.137152773779235,29.637161349714006,23.128639813,1,,1,0.263943256487,1.0,15.0,,1,1.0
w,go,11,146,2,actual,low,w,gonogo,58,,54,54,30.637016710788885,31.13702682271105,,1,,1,0.250613435444,1.0,15.0,,2,1.0
w,go,11,146,3,actual,low,w,gonogo,58,,54,54,32.136098573602794,32.636108429531305,,1,,1,0.26719392035,1.0,15.0,,3,1.0
m,nogo,12,146,4,actual,low,w,gonogo,58,,54,54,33.635166100528295,34.13517774844149,,1,,1,0.250637755264,1.0,16.0,,4,0.0
w,go,11,146,5,actual,low,w,gonogo,58,,54,54,35.134230811469024,35.63423989940202,,1,,1,0.275590402016,1.0,15.0,,5,1.0
w,go,11,146,6,actual,low,w,gonogo,58,,54,54,36.63332342620561,37.13333149014579,,1,,1,0.325609358679,1.0,15.0,,6,1.0
w,go,11,146,7,actual,low,w,gonogo,58,,54,54,38.13231824967079,38.63232912958847,,1,,1,0.333889361205,1.0,15.0,,7,1.0
w,go,11,146,8,actual,low,w,gonogo,58,,54,54,39.631440560184274,40.13144964811727,,1,,1,0.358962327064,1.0,15.0,,8,1.0
w,go,11,146,9,actual,low,w,gonogo,58,,54,54,41.130522678999114,41.63053407091502,,1,,1,0.425561256634,1.0,15.0,,9,1.0
w,go,11,146,10,actual,low,w,gonogo,58,,54,54,42.62959993385084,43.12961183776133,,1,,1,0.267287871655,1.0,15.0,,10,1.0
m,nogo,12,146,11,actual,low,w,gonogo,58,,54,54,44.12866336480147,44.62867194073988,,1,,,,1.0,19.0,,11,1.0
w,go,11,146,12,actual,low,w,gonogo,58,,54,54,45.62774420362621,46.127755851539405,,1,,1,0.417252326319,1.0,15.0,,12,1.0
w,go,11,146,1,actual,high,w,gonogo,58,,54,54,47.13903026383923,47.639042679747945,,2,,,,1.0,18.0,,13,0.0
