stimulus,trialType,TTLStim,participant,trialNo,blockType,noGoFreq,goLetter,task,fixationFrames,postFixationFrames,targetFrames,targetRemoveFrames,startTime,endTime,firstTR,blockNumber,elapsedTime,resp,rt,iti,responseTTL,choice,overallTrialNum,acc
m,go,11,119,1,actual,low,m,gonogo,58,,54,54,43.09658706767368,43.59659615558121,37.0931152303,1,,1,0.308823540705,1.0,15.0,,1,1.0
m,go,11,119,2,actual,low,m,gonogo,58,,54,54,44.59647506879264,45.096483644705586,,1,,1,0.27557484866,1.0,15.0,,2,1.0
w,nogo,12,119,3,actual,low,m,gonogo,58,,54,54,46.09553875813799,46.595550406022085,,1,,,,1.0,19.0,,3,1.0
m,go,11,119,4,actual,low,m,gonogo,58,,54,54,47.59461038340669,48.09461767933681,,1,,1,0.375578202231,1.0,15.0,,4,1.0
w,nogo,12,119,5,actual,low,m,gonogo,58,,54,54,49.093675864736724,49.59368418465601,,1,,,,1.0,19.0,,5,1.0
m,go,11,119,6,actual,low,m,gonogo,58,,54,54,50.5927495379874,51.09275990588503,,1,,1,0.242115214722,1.0,15.0,,6,1.0
m,go,11,119,7,actual,low,m,gonogo,58,,54,54,52.09181501931744,52.591826155206945,,1,,1,0.317211808961,1.0,15.0,,7,1.0
m,go,11,119,8,actual,low,m,gonogo,58,,54,54,53.59088408461321,54.09089624449189,,1,,1,0.358915072593,1.0,15.0,,8,1.0
m,go,11,119,9,actual,low,m,gonogo,58,,54,54,55.08995801385754,55.58996863775246,,1,,1,0.26715944468,1.0,15.0,,9,1.0
m,go,11,119,10,actual,low,m,gonogo,58,,54,54,56.589028359139775,57.08904103101304,,1,,1,0.317220256871,1.0,15.0,,10,1.0
m,go,11,119,11,actual,low,m,gonogo,58,,54,54,58.088079760611436,58.588092944479286,,1,,1,0.258939878746,1.0,15.0,,11,1.0
m,go,11,119,12,actual,low,m,gonogo,58,,54,54,59.58716981769612,60.087181465580215,,1,,1,0.300531527493,1.0,15.0,,12,1.0
m,go,11,119,1,actual,high,m,gonogo,58,,54,54,61.09799991756881,61.59799799758548,,2,,1,0.292175258921,1.0,15.0,,13,1.0
m,go,11,119,2,actual,high,m,gonogo,58,,54,54,62.59729400461583,63.097303348520654,,2,,1,0.283893997603,1.0,15.0,,14,1.0
m,go,11,119,3,actual,high,m,gonogo,58,,54,54,64.0963438701001,64.5963552619869,,2,,1,0.292194458732,1.0,15.0,,15,1.0
w,nogo,12,119,4,actual,high,m,gonogo,58,,54,54,65.59540807144367,66.09542125531152,,2,,1,0.208897754364,1.0,16.0,,16,0.0
w,nogo,12,119,5,actual,high,m,gonogo,58,,54,54,67.09450196849139,67.59451208038809,,2,,1,0.267102357251,1.0,16.0,,17,0.0
m,go,11,119,6,actual,high,m,gonogo,58,,54,54,68.59354569003699,69.09361237737176,,2,,1,0.350588243728,1.0,15.0,,18,1.0
m,go,11,119,7,actual,high,m,gonogo,58,,54,54,70.09262422723623,70.59263229115822,,2,,1,0.375521370795,1.0,15.0,,19,1.0
m,go,11,119,8,actual,high,m,gonogo,58,,54,54,71.59168894057439,72.09169751649097,,2,,1,0.333886970471,1.0,15.0,,20,1.0
w,nogo,12,119,9,actual,high,m,gonogo,58,,54,54,73.09076696577904,73.59077426170916,,2,,,,1.0,19.0,,21,1.0
w,nogo,12,119,10,actual,high,m,gonogo,58,,54,54,74.58983347110188,75.08984435099046,,2,,,,1.0,19.0,,22,1.0
w,nogo,12,119,11,actual,high,m,gonogo,58,,54,54,76.08887079271153,76.5888796246254,,2,,1,0.292196762708,1.0,16.0,,23,0.0
w,nogo,12,119,12,actual,high,m,gonogo,58,,54,54,77.58796699373488,78.08797531365417,,2,,,,1.0,19.0,,24,1.0
m,go,11,119,1,actual,low,m,gonogo,58,,54,54,79.13205013761035,79.63205717753954,,3,,1,0.383881479327,1.0,15.0,,25,1.0
m,go,11,119,2,actual,low,m,gonogo,58,,54,54,80.63214191269435,81.13215484056491,,3,,1,0.350554964058,1.0,15.0,,26,1.0
w,nogo,12,119,3,actual,low,m,gonogo,58,,54,54,82.13220988001558,82.6322192239204,,3,,,,1.0,19.0,,27,1.0
m,go,11,119,4,actual,low,m,gonogo,58,,54,54,83.63228373527818,84.13229256718841,,3,,1,0.400542304986,1.0,15.0,,28,1.0
w,nogo,12,119,5,actual,low,m,gonogo,58,,54,54,85.1323565665516,85.6323666784483,,3,,,,1.0,19.0,,29,1.0
m,go,11,119,6,actual,low,m,gonogo,58,,54,54,86.6324176219423,87.13242670984982,,3,,1,0.242237325503,1.0,15.0,,30,1.0
m,go,11,119,7,actual,low,m,gonogo,58,,54,54,88.13249762114356,88.63250440507545,,3,,1,0.400526945141,1.0,15.0,,31,1.0
w,nogo,12,119,8,actual,low,m,gonogo,58,,54,54,89.63257634035472,90.1325849162713,,3,,,,1.0,19.0,,32,1.0
m,go,11,119,9,actual,low,m,gonogo,58,,54,54,91.13263816373728,91.63264827563762,,3,,1,0.225502004589,1.0,15.0,,33,1.0
m,go,11,119,10,actual,low,m,gonogo,58,,54,54,92.63269768314422,93.13270779504455,,3,,1,0.392258227694,1.0,15.0,,34,1.0
m,go,11,119,11,actual,low,m,gonogo,58,,54,54,94.1327638584844,94.6327737143838,,3,,1,0.40052387317,1.0,15.0,,35,1.0
m,go,11,119,12,actual,low,m,gonogo,58,,54,54,95.63284206570461,96.13285371358506,,3,,1,0.358903040713,1.0,15.0,,36,1.0
m,go,11,119,1,actual,high,m,gonogo,58,,54,54,97.14314993079097,97.64315773871203,,4,,1,0.32550689414,1.0,15.0,,37,1.0
m,go,11,119,2,actual,high,m,gonogo,58,,54,54,98.64295422074429,99.14296561263109,,4,,1,0.292212634547,1.0,15.0,,38,1.0
m,go,11,119,3,actual,high,m,gonogo,58,,54,54,100.14202328603642,100.64203442192593,,4,,1,0.333895930384,1.0,15.0,,39,1.0
w,nogo,12,119,4,actual,high,m,gonogo,58,,54,54,101.64108825537187,102.14110041525055,,4,,1,0.283900653536,1.0,16.0,,40,0.0
m,go,11,119,5,actual,high,m,gonogo,58,,54,54,103.14012608897974,103.6401341528981,,4,,1,0.425514087667,1.0,15.0,,41,1.0
m,go,11,119,6,actual,high,m,gonogo,58,,54,54,104.63923201790749,105.13924059382043,,4,,1,0.300539207416,1.0,15.0,,42,1.0
w,nogo,12,119,7,actual,high,m,gonogo,58,,54,54,106.1382985232267,106.63830633114776,,4,,,,1.0,19.0,,43,1.0
w,nogo,12,119,8,actual,high,m,gonogo,58,,54,54,107.63736067658829,108.13737283646697,,4,,,,1.0,19.0,,44,1.0
w,nogo,12,119,9,actual,high,m,gonogo,58,,54,54,109.13743606783828,109.63744515574581,,4,,,,1.0,19.0,,45,1.0
